,STATIC,STATIC+EVENT-CNT,STATIC+BiPadLSTM,STATIC+Med2Vec,STATIC+Dipole,STATIC+CEHR-BERT,STATIC+DOME,STATIC+GRU
0,0.1896551724137931,0.21052631578947367,0.5789473684210527,0.5517241379310345,0.5384615384615384,0.3125,0.55,0.4
1,0.14814814814814814,0.32727272727272727,0.4827586206896552,0.36363636363636365,0.4166666666666667,0.3225806451612903,0.5581395348837209,0.13333333333333333
2,0.0,0.2711864406779661,0.5185185185185185,0.11764705882352941,0.3870967741935484,0.3448275862068966,0.5142857142857142,0.2702702702702703
3,0.17391304347826086,0.3157894736842105,0.5161290322580645,0.10526315789473684,0.6153846153846154,0.3870967741935484,0.6451612903225806,0.13333333333333333
4,0.12,0.34782608695652173,0.5,0.56,0.4,0.6923076923076923,0.7058823529411765,0.3
5,0.15819209039548024,0.3225806451612903,0.45161290322580644,0.36363636363636365,0.25,0.37037037037037035,0.47058823529411764,0.21052631578947367
6,0.15204678362573099,0.22580645161290322,0.37037037037037035,0.48,0.35714285714285715,0.26666666666666666,0.6285714285714286,0.3157894736842105
7,0.1566265060240964,0.2857142857142857,0.25,0.2857142857142857,0.25,0.15384615384615385,0.6451612903225806,0.13333333333333333
8,0.15819209039548024,0.3157894736842105,0.3333333333333333,0.32,0.4,0.5384615384615384,0.5294117647058824,0.10526315789473684
9,0.0,0.4444444444444444,0.3870967741935484,0.2,0.5454545454545454,0.07692307692307693,0.7333333333333333,0.38461538461538464
10,0.14953271028037382,0.2222222222222222,0.4,0.2962962962962963,0.24,0.3333333333333333,0.6896551724137931,0.46153846153846156
11,0.1951219512195122,0.2641509433962264,0.1875,0.21052631578947367,0.5714285714285714,0.21428571428571427,0.6153846153846154,0.1951219512195122
12,0.17142857142857143,0.37735849056603776,0.5,0.18181818181818182,0.36363636363636365,0.3333333333333333,0.5384615384615384,0.21052631578947367
13,0.14906832298136646,0.5,0.3684210526315789,0.4,0.48,0.5714285714285714,0.7741935483870968,0.4
14,0.0,0.3,0.41379310344827586,0.43478260869565216,0.32,0.5925925925925926,0.6451612903225806,0.19047619047619047
15,0.1188118811881188,0.29850746268656714,0.5,0.3,0.3870967741935484,0.32432432432432434,0.358974358974359,0.5384615384615384
16,0.16374269005847952,0.3380281690140845,0.4444444444444444,0.21052631578947367,0.2727272727272727,0.5,0.7647058823529411,0.35294117647058826
17,0.0,0.3076923076923077,0.2631578947368421,0.2,0.2857142857142857,0.25,0.4375,0.2608695652173913
18,0.16666666666666666,0.3111111111111111,0.34782608695652173,0.3225806451612903,0.10526315789473684,0.42857142857142855,0.5161290322580645,0.3333333333333333
19,0.16216216216216217,0.45,0.2608695652173913,0.24,0.4444444444444444,0.5,0.6875,0.1
20,0.125,0.2641509433962264,0.3333333333333333,0.4,0.4,0.4375,0.45161290322580644,0.38461538461538464
21,0.12371134020618557,0.22580645161290322,0.45161290322580644,0.38095238095238093,0.6153846153846154,0.5185185185185185,0.6222222222222222,0.3333333333333333
22,0.171875,0.33962264150943394,0.35714285714285715,0.19047619047619047,0.34782608695652173,0.27586206896551724,0.6,0.25
23,0.16766467065868262,0.24489795918367346,0.4827586206896552,0.46153846153846156,0.3,0.34782608695652173,0.7142857142857143,0.16766467065868262
24,0.1724137931034483,0.39344262295081966,0.34782608695652173,0.08695652173913043,0.4,0.21428571428571427,0.6857142857142857,0.17391304347826086
