,AUC mean,AUC std,F1 mean,F1 std,Prec mean,Prec std,Recall mean,Recall std,MCC mean,MCC std,Acc mean,Acc std,CM,Brier
STATIC+BiPadLSTM,0.7494016193433894,0.09097136305250614,0.35848267622461166,0.06638419020322549,0.3698642533936652,0.04012184305187643,0.35714285714285715,0.10101525445522108,0.307646950276215,0.0653882593672482,0.9002233169129721,0.00595417423867115,"[[760  42]
 [ 45  25]]",0.07700791508273881
STATIC+Med2Vec,0.6633229813664597,0.09828971066118367,0.32987012987012987,0.09229576926080679,0.4341991341991342,0.07986514373389676,0.2714285714285714,0.09476070829586856,0.29826784660307637,0.08954932955430205,0.9139704433497536,0.008314207305831673,"[[778  24]
 [ 51  19]]",0.07282096430778996
STATIC+Dipole,0.6449697759538597,0.122244843160599,0.3605194805194805,0.10972711824795872,0.5567821067821067,0.28142982590403354,0.3142857142857143,0.09689042833036098,0.34818685606131633,0.11715001523357438,0.9094712643678161,0.027933181113928472,"[[771  31]
 [ 48  22]]",0.06929210219834478
STATIC+CEHR-BERT,0.7347218833185448,0.10243114375392215,0.28125356125356127,0.16266168632427103,0.29358974358974355,0.17575796219652942,0.2714285714285714,0.152529689314733,0.22183178309426616,0.17622073918888492,0.8887619047619048,0.025054818902076236,"[[756  46]
 [ 51  19]]",0.08015818129115686
STATIC+DOME,0.928029059449867,0.026196323422827576,0.6014132104454685,0.09203669316028569,0.5299089635854342,0.10152426314757455,0.7,0.08329931278350429,0.5683752345044948,0.1006292045063649,0.9243415435139573,0.020213569007266067,"[[757  45]
 [ 21  49]]",0.049222416944506985
STATIC+GRU,0.6007874889086069,0.029375934335388407,0.22990553306342779,0.10634721898981256,0.5233333333333333,0.26989709973329545,0.1714285714285714,0.10690449676496976,0.24000624630902762,0.09581964919096854,0.9151264367816092,0.009281524914483495,"[[786  16]
 [ 58  12]]",0.07039720073192207
STATIC,0.5423103371783495,0.03590945724444545,0.1330303111819648,0.06863877744273975,0.0753294000915867,0.038968233496319366,0.5857142857142856,0.3142857142857143,0.04944667705864303,0.052523481223730475,0.5092939244663383,0.22929201572662786,"[[403 399]
 [ 29  41]]",0.14050266023219635
STATIC+EVENT-CNT,0.7755939440993789,0.06963050149086074,0.3327463312368973,0.09793596131217862,0.24038616829640672,0.0902042469813804,0.5714285714285714,0.12777531299998798,0.27932165430532635,0.11348979854158399,0.8085320197044334,0.04753939502100689,"[[665 137]
 [ 30  40]]",0.09685199732436392
STATIC+BiPadLSTM,0.7432525510204081,0.11986504567173474,0.37394283121597094,0.10290660755698389,0.3583333333333334,0.14278966660402595,0.41428571428571426,0.10497813183356479,0.319213890761154,0.11852416579117861,0.8853661740558293,0.02862036539123903,"[[743  59]
 [ 41  29]]",0.08080123653251611
STATIC+Med2Vec,0.7063592502218279,0.04553764876640661,0.30468468051992076,0.10004281102110918,0.39355866355866354,0.10769029061079456,0.2571428571428572,0.09689042833036098,0.2684149502085853,0.099986904697298,0.9082692939244662,0.012467843512536606,"[[774  28]
 [ 52  18]]",0.07562357373266605
STATIC+Dipole,0.7325499112688554,0.10353588473679695,0.39501298701298704,0.11746124267941695,0.45064935064935063,0.11422666715478452,0.3571428571428571,0.12777531299998798,0.3542581888712565,0.12385350804641722,0.9139967159277503,0.01488784667880894,"[[772  30]
 [ 45  25]]",0.0711457594990559
STATIC+CEHR-BERT,0.7355506876663708,0.14479566610309916,0.408994708994709,0.14795527883880039,0.49736263736263736,0.22021012898068,0.3571428571428571,0.12777531299998798,0.37397186867043986,0.17002825198557722,0.915192118226601,0.02580261605368916,"[[773  29]
 [ 45  25]]",0.06684891585196148
STATIC+DOME,0.9475238464951197,0.022566371841855056,0.6525712329939248,0.07826363182268095,0.6048235294117648,0.07791709826623366,0.7285714285714285,0.1309307341415954,0.6276248127398613,0.08264902421929413,0.9380886699507389,0.015479172771064786,"[[767  35]
 [ 19  51]]",0.044121049467818654
STATIC+GRU,0.6507605922803903,0.06459393638225963,0.2915325838047276,0.11553060114611045,0.35007029667580125,0.13972712846028093,0.3857142857142857,0.26186146828319085,0.255286154733603,0.11247455249333267,0.8168341543513957,0.1913597609872904,"[[685 117]
 [ 43  27]]",0.08176633032541374
STATIC,0.5385312222715173,0.07357376563255837,0.12227668001508543,0.06363072197669006,0.06933313555387506,0.03591180285078545,0.5428571428571429,0.327638426890849,0.034234057502747536,0.04907443399359532,0.5084203612479474,0.23571121275891097,"[[405 397]
 [ 32  38]]",0.12477943643757447
STATIC+EVENT-CNT,0.7879250776397516,0.030184116259041542,0.3410678101008141,0.05603244160585852,0.2334488580423582,0.05777046075752499,0.6857142857142857,0.11605769149479941,0.30606926684106217,0.059290089544329655,0.779927750410509,0.057817788622064284,"[[632 170]
 [ 22  48]]",0.09409188365186616
STATIC+BiPadLSTM,0.7431934893522627,0.06401427226709576,0.36325959827103993,0.09594913225649077,0.3784188034188034,0.09652918196964648,0.3714285714285714,0.1228903609577518,0.3141907651704572,0.10219146274434848,0.8956059113300492,0.028592781406262317,"[[755  47]
 [ 44  26]]",0.07388788113222479
STATIC+Med2Vec,0.6752725709849157,0.10049386555974109,0.2546213921901528,0.048619616346296815,0.36003565062388593,0.08230202684133821,0.21428571428571427,0.07824607964359517,0.22235697186262765,0.04515330813037889,0.9024893267651889,0.015168736892663313,"[[772  30]
 [ 55  15]]",0.07180978120004286
STATIC+Dipole,0.5991692546583851,0.04711626614804676,0.2990491869948576,0.1160308979001785,0.47130252100840336,0.27504021956499947,0.24285714285714283,0.11605769149479941,0.2848362589472889,0.14364270807575652,0.9117241379310345,0.017110753902458413,"[[778  24]
 [ 53  17]]",0.06971676796555952
STATIC+CEHR-BERT,0.7919487577639751,0.04762481849089858,0.4005791505791506,0.09903681875203348,0.38677708764665286,0.09085668494928018,0.42857142857142855,0.11952286093343936,0.3496653523742247,0.1039510482302844,0.8979704433497536,0.02167052153087773,"[[753  49]
 [ 40  30]]",0.0788458633367015
STATIC+DOME,0.9239208074534162,0.03664367352578658,0.5529618547170729,0.15182574945322158,0.4801176470588236,0.1374626277469029,0.6571428571428571,0.17142857142857143,0.5151009430248832,0.16958487653818258,0.9128604269293923,0.03454722631119466,"[[750  52]
 [ 24  46]]",0.051538719162467744
STATIC+GRU,0.6358229813664595,0.09437310737036192,0.3171211226965703,0.14201641547156849,0.5666666666666667,0.2953340857778225,0.24285714285714283,0.13997084244475302,0.32117220153848225,0.16219209720524258,0.9196912972085386,0.016786455554889612,"[[785  17]
 [ 53  17]]",0.06689213410205516
STATIC,0.5581316548358474,0.07184006269936885,0.15213296079366329,0.022743264324992137,0.08536320380834873,0.012471920390682718,0.7285714285714285,0.18294640678379567,0.029117843865119307,0.07755507610442784,0.3509031198686371,0.1288141076451776,"[[255 547]
 [ 19  51]]",0.16712237070412378
STATIC+EVENT-CNT,0.7643267524401065,0.0708453883495088,0.2935841237306113,0.0631216801841757,0.19656749279089705,0.0402968320993868,0.5857142857142856,0.152529689314733,0.24029454514513165,0.09103223838179636,0.7752840722495895,0.025719553950557097,"[[635 167]
 [ 29  41]]",0.1001145953659289
STATIC+BiPadLSTM,0.7310170807453416,0.07300305135731633,0.3945347602696348,0.06060830502808885,0.39850373482726426,0.05663912435315338,0.4,0.08571428571428572,0.3445036359621902,0.06292739715949272,0.9025418719211823,0.010698872328720624,"[[759  43]
 [ 42  28]]",0.07296474594923845
STATIC+Med2Vec,0.6916886645962733,0.10111746518801393,0.3039847109412327,0.14138710083578618,0.3845598845598846,0.16594516594516592,0.2571428571428571,0.1324802642213672,0.26558203201155395,0.15011929540785146,0.9082298850574713,0.01638180827156865,"[[774  28]
 [ 52  18]]",0.06887934046691434
STATIC+Dipole,0.6984280723158829,0.08328496440491295,0.4126421404682274,0.10799401017515294,0.5305555555555556,0.11798200323108499,0.3571428571428571,0.12777531299998798,0.3885967960289925,0.10652188438884488,0.9208735632183908,0.015502123459795705,"[[778  24]
 [ 45  25]]",0.06718649183817345
STATIC+CEHR-BERT,0.7666642635314995,0.07776644246543817,0.3587984777452543,0.10916702899084567,0.37054945054945054,0.11764460246580263,0.3571428571428571,0.11952286093343938,0.306513421897526,0.11925594572379658,0.897904761904762,0.019822475110156532,"[[758  44]
 [ 45  25]]",0.07828415777360061
STATIC+DOME,0.935785825199645,0.04118329814174866,0.6147670250896058,0.09146627330867768,0.5221260712721814,0.10970748490112088,0.7857142857142858,0.1690308509457033,0.5963802677164457,0.10354189099325052,0.9209129720853859,0.020811882815144258,"[[748  54]
 [ 15  55]]",0.04248853998931307
STATIC+GRU,0.6548000776397516,0.03599610403783369,0.2619052864171323,0.08593648632182588,0.2705228758169934,0.12234072057846444,0.41428571428571426,0.3010186786529354,0.2070878003585392,0.09103489919818927,0.7542331691297208,0.277064085887092,"[[629 173]
 [ 41  29]]",0.10026088403376801
