,STATIC,STATIC+EVENT-CNT,STATIC+BiPadLSTM,STATIC+Med2Vec,STATIC+Dipole,STATIC+CEHR-BERT,STATIC+DOME,STATIC+GRU
0,0.16541353383458646,0.31746031746031744,0.4857142857142857,0.3829787234042553,0.42424242424242425,0.3783783783783784,0.3442622950819672,0.40816326530612246
1,0.16911764705882354,0.32142857142857145,0.391304347826087,0.41304347826086957,0.43902439024390244,0.46875,0.31666666666666665,0.328125
2,0.14965986394557823,0.24742268041237114,0.325,0.3137254901960784,0.35,0.3157894736842105,0.3125,0.3541666666666667
3,0.16312056737588654,0.25333333333333335,0.3584905660377358,0.42,0.425531914893617,0.48717948717948717,0.3384615384615385,0.39285714285714285
4,0.14788732394366197,0.28125,0.375,0.3695652173913043,0.3953488372093023,0.32432432432432434,0.35714285714285715,0.375
5,0.14788732394366197,0.3050847457627119,0.41935483870967744,0.35555555555555557,0.425531914893617,0.42857142857142855,0.35,0.375
6,0.15753424657534246,0.3333333333333333,0.4,0.43902439024390244,0.37142857142857144,0.36585365853658536,0.38,0.3125
7,0.16296296296296298,0.27941176470588236,0.45,0.4634146341463415,0.4473684210526316,0.48484848484848486,0.3076923076923077,0.425531914893617
8,0.16783216783216784,0.2948717948717949,0.5263157894736842,0.3728813559322034,0.4186046511627907,0.3541666666666667,0.3382352941176471,0.39622641509433965
9,0.14893617021276595,0.2898550724637681,0.3902439024390244,0.32727272727272727,0.5142857142857142,0.45454545454545453,0.31666666666666665,0.3392857142857143
10,0.16279069767441862,0.3829787234042553,0.42857142857142855,0.3958333333333333,0.4473684210526316,0.48484848484848486,0.3181818181818182,0.4146341463414634
11,0.16312056737588654,0.3387096774193548,0.4,0.3409090909090909,0.3888888888888889,0.3939393939393939,0.3728813559322034,0.3611111111111111
12,0.1510791366906475,0.2375,0.37777777777777777,0.3958333333333333,0.3684210526315789,0.4358974358974359,0.3230769230769231,0.4444444444444444
13,0.15671641791044777,0.2602739726027397,0.36585365853658536,0.34782608695652173,0.42105263157894735,0.3888888888888889,0.32142857142857145,0.3695652173913043
14,0.14556962025316456,0.28,0.4166666666666667,0.38,0.40425531914893614,0.3023255813953488,0.36666666666666664,0.41304347826086957
15,0.14285714285714285,0.3064516129032258,0.4444444444444444,0.4166666666666667,0.42424242424242425,0.3333333333333333,0.3108108108108108,0.3541666666666667
16,0.15384615384615385,0.328125,0.4318181818181818,0.37254901960784315,0.42424242424242425,0.43902439024390244,0.3442622950819672,0.4
17,0.14960629921259844,0.2676056338028169,0.3888888888888889,0.3617021276595745,0.40625,0.4,0.34545454545454546,0.41304347826086957
18,0.1643835616438356,0.2898550724637681,0.38461538461538464,0.3541666666666667,0.4375,0.3548387096774194,0.3050847457627119,0.36363636363636365
19,0.168,0.3404255319148936,0.52,0.5,0.5,0.4444444444444444,0.3829787234042553,0.35294117647058826
20,0.14545454545454545,0.25,0.5142857142857142,0.40425531914893614,0.4878048780487805,0.4418604651162791,0.36666666666666664,0.36363636363636365
21,0.15714285714285714,0.26229508196721313,0.4,0.3148148148148148,0.42105263157894735,0.3939393939393939,0.3230769230769231,0.29508196721311475
22,0.171875,0.25301204819277107,0.36585365853658536,0.41025641025641024,0.43243243243243246,0.40540540540540543,0.3888888888888889,0.38636363636363635
23,0.1678832116788321,0.323943661971831,0.3695652173913043,0.391304347826087,0.5142857142857142,0.4857142857142857,0.40350877192982454,0.3958333333333333
24,0.15441176470588236,0.30303030303030304,0.42857142857142855,0.3829787234042553,0.3673469387755102,0.34210526315789475,0.3142857142857143,0.32075471698113206
25,0.16541353383458646,0.31746031746031744,0.4857142857142857,0.3829787234042553,0.42424242424242425,0.3783783783783784,0.3442622950819672,0.40816326530612246
26,0.16911764705882354,0.32142857142857145,0.391304347826087,0.41304347826086957,0.43902439024390244,0.46875,0.31666666666666665,0.328125
27,0.14965986394557823,0.24742268041237114,0.325,0.3137254901960784,0.35,0.3157894736842105,0.3125,0.3541666666666667
28,0.16312056737588654,0.25333333333333335,0.3584905660377358,0.42,0.425531914893617,0.48717948717948717,0.3384615384615385,0.39285714285714285
29,0.14788732394366197,0.28125,0.375,0.3695652173913043,0.3953488372093023,0.32432432432432434,0.35714285714285715,0.375
