,STATIC,STATIC+EVENT-CNT,STATIC+BiPadLSTM,STATIC+Med2Vec,STATIC+Dipole,STATIC+CEHR-BERT,STATIC+DOME,STATIC+GRU
0,"[[357, 445], [28, 42]]","[[638, 164], [30, 40]]","[[756, 46], [29, 41]]","[[781, 21], [49, 21]]","[[775, 27], [40, 30]]","[[753, 49], [40, 30]]","[[743, 59], [16, 54]]","[[775, 27], [55, 15]]"
1,"[[221, 581], [16, 54]]","[[647, 155], [29, 41]]","[[760, 42], [45, 25]]","[[778, 24], [51, 19]]","[[771, 31], [48, 22]]","[[756, 46], [51, 19]]","[[757, 45], [21, 49]]","[[786, 16], [58, 12]]"
2,"[[403, 399], [29, 41]]","[[665, 137], [30, 40]]","[[743, 59], [41, 29]]","[[774, 28], [52, 18]]","[[772, 30], [45, 25]]","[[773, 29], [45, 25]]","[[767, 35], [19, 51]]","[[685, 117], [43, 27]]"
3,"[[405, 397], [32, 38]]","[[632, 170], [22, 48]]","[[755, 47], [44, 26]]","[[772, 30], [55, 15]]","[[778, 24], [53, 17]]","[[753, 49], [40, 30]]","[[750, 52], [24, 46]]","[[785, 17], [53, 17]]"
4,"[[255, 547], [19, 51]]","[[635, 167], [29, 41]]","[[759, 43], [42, 28]]","[[774, 28], [52, 18]]","[[778, 24], [45, 25]]","[[758, 44], [45, 25]]","[[748, 54], [15, 55]]","[[629, 173], [41, 29]]"
5,"[[357, 445], [28, 42]]","[[638, 164], [30, 40]]","[[756, 46], [29, 41]]","[[781, 21], [49, 21]]","[[775, 27], [40, 30]]","[[753, 49], [40, 30]]","[[743, 59], [16, 54]]","[[775, 27], [55, 15]]"
