,AUC mean,AUC std,F1 mean,F1 std,Prec mean,Prec std,Recall mean,Recall std,MCC mean,MCC std,Acc mean,Acc std,CM,Brier
STATIC+DOME,0.924451384989706,0.022547004492141687,0.4770590507337751,0.025065699825085913,0.3377182241028581,0.02807184044088953,0.825,0.08079466429027217,0.46624144785174926,0.02985386061602323,0.8533161593564278,0.01906406795108531,"[[1169  197]
 [  21   99]]",0.060703453445262616
STATIC+GRU,0.84637481840949,0.06596601684659953,0.4912845458276428,0.0524783711053292,0.3767575370068976,0.024926344542337723,0.7166666666666666,0.1379412113103904,0.4625180858671408,0.07040008685640661,0.8822407520394098,0.0066061786306420515,"[[1225  141]
 [  34   86]]",0.06673996775599911
STATIC,0.7682477295615981,0.027891930417635043,0.271989781363979,0.013583437085465958,0.1593534757964234,0.009508234016752557,0.9333333333333332,0.042491829279939886,0.27297085883445854,0.017715935374239888,0.594931417079068,0.036695243841149,"[[772 594]
 [  8 112]]",0.1602253392599948
STATIC+EVENT-CNT,0.8911221179469354,0.03855486892877926,0.4173075624740797,0.040747890441378075,0.2784562190324237,0.02963557879333518,0.8416666666666666,0.09646530752325189,0.4116147423282803,0.05390742015645759,0.809576751858631,0.024699923765606934,"[[1102  264]
 [  19  101]]",0.07594377639741098
STATIC+BiPadLSTM,0.8564863461761272,0.05895558285228815,0.5080946172471597,0.05331277281163187,0.4156552037570065,0.05430354063008391,0.6583333333333334,0.06123724356957945,0.4696076100889049,0.05850441035832441,0.8963482701737735,0.01579327680338736,"[[1253  113]
 [  41   79]]",0.06285017826949538
STATIC+Med2Vec,0.8971711986310525,0.025759028605915342,0.5000746358492837,0.033661869716057176,0.38072192309010067,0.034313071691120724,0.7333333333333333,0.04249182927993987,0.471590532848265,0.036545515015413886,0.8808826520235916,0.015188234890742934,"[[1221  145]
 [  32   88]]",0.06774745463507956
STATIC+Dipole,0.8951009554111744,0.033708627313607575,0.5518847976068073,0.05079862237844717,0.4445845190242769,0.05175581666448713,0.7333333333333333,0.062360956446232386,0.5222661350830516,0.05552556561769867,0.903086796375387,0.016318209817093986,"[[1254  112]
 [  32   88]]",0.05789403988994477
STATIC+CEHR-BERT,0.8557683395274636,0.0607865483377266,0.5021467667641102,0.061318471766875354,0.41380496266665184,0.04809179192244438,0.6416666666666666,0.09718253158075502,0.46219971090999695,0.0717592472892879,0.8977086299233952,0.011997125748049668,"[[1257  109]
 [  43   77]]",0.06618168263571003
STATIC+DOME,0.9305939346541535,0.01591582933278185,0.5140335031162986,0.03867729875359156,0.3592853929696035,0.03527770341820975,0.9083333333333334,0.031180478223116186,0.516818851526583,0.039598027415092454,0.8600230492847942,0.020069370559515964,"[[1169  197]
 [  11  109]]",0.06312590667522718
STATIC+GRU,0.8707574106752938,0.03258787521084258,0.4798389490049952,0.04010608271409535,0.35233400350551597,0.038608283954277595,0.7583333333333334,0.048591265790377494,0.45600480249872843,0.04371832067283279,0.8660813956115969,0.019225742424141868,"[[1196  170]
 [  29   91]]",0.07082956496640813
