,AUC mean,AUC std,F1 mean,F1 std,Prec mean,Prec std,Recall mean,Recall std,MCC mean,MCC std,Acc mean,Acc std,CM,Brier
STATIC,0.5325521295474711,0.0839936708597208,0.12279137788319675,0.06157744785684772,0.06682020164745384,0.03349705910230915,0.7571428571428572,0.38225966172170434,0.03577988868832237,0.037229758311167004,0.314568144499179,0.30319022970665194,"[[221 581]
 [ 17  53]]",0.14472944238288854
STATIC+BiPadLSTM,0.7802617568766637,0.09244937651294374,0.5118137296845665,0.03448156474278237,0.4529509803921569,0.013523030606556045,0.5999999999999999,0.10690449676496976,0.4714853596488674,0.0432981415403254,0.9094121510673234,0.004096995631674661,"[[751  51]
 [ 28  42]]",0.05987449154682881
STATIC+M2V,0.7592571539485359,0.11075523391219752,0.3165182321120142,0.18202601135373503,0.3730555555555556,0.1265142845592183,0.3,0.20898198340468274,0.28266934167736724,0.17288296544861956,0.9116781609195401,0.007977081123311225,"[[774  28]
 [ 49  21]]",0.06666591595615748
STATIC+Dipole,0.7434979480922805,0.07945760831195788,0.4715219189412737,0.08992160668748549,0.553921568627451,0.11797340358032407,0.42857142857142855,0.10101525445522107,0.4416006899472791,0.09187138914167675,0.9231592775041051,0.01767700386086452,"[[775  27]
 [ 40  30]]",0.0625169874859608
STATIC+DOME,0.9370812999112689,0.04617813576967322,0.5664588031506357,0.08438886785720741,0.4578369764328018,0.102750459023706,0.7714285714285715,0.08329931278350426,0.5436048840087616,0.08575400304757604,0.9014515599343186,0.03144475701636283,"[[732  70]
 [ 16  54]]",0.04703760208044667
STATIC+GRU,0.6627681344276841,0.09348878534520472,0.2473873873873874,0.10256605418532402,0.6343873517786561,0.31357104106415856,0.21428571428571427,0.12777531299998798,0.2719241606418724,0.05263084171705288,0.9059310344827587,0.030837271246777327,"[[775  27]
 [ 55  15]]",0.06991420426614912
STATIC+GRU-D,0.5233110581188998,0.09148471187118053,0.12279137788319675,0.06157744785684772,0.06682020164745384,0.03349705910230915,0.7571428571428572,0.38225966172170434,0.03577988868832237,0.037229758311167004,0.314568144499179,0.30319022970665194,"[[221 581]
 [ 17  53]]",0.1382422029265985
