,AUC mean,AUC std,F1 mean,F1 std,Prec mean,Prec std,Recall mean,Recall std,MCC mean,MCC std,Acc mean,Acc std,CM,Brier
STATIC,0.7785518212525512,0.031439247970244666,0.27137292911423627,0.013629678539145705,0.15903978723170736,0.008616276101457168,0.925,0.0311804782231162,0.27012801279744236,0.023445550478279512,0.5982351478995775,0.018696343770063895,"[[778 588]
 [  9 111]]",0.1691960793325407
STATIC+BiPadLSTM,0.8823808186946873,0.04132725177357486,0.5193270648654262,0.043199207624134185,0.42329614999443643,0.0486542619996557,0.6916666666666667,0.11365151414154881,0.4872710397248152,0.054556067106007806,0.8970239305809775,0.014146886563702181,"[[1250  116]
 [  37   83]]",0.06027619865138073
STATIC+M2V,0.8955209530939457,0.011345031486537259,0.49987637948905556,0.037533496258709796,0.3809015021364698,0.024334222751879353,0.7333333333333334,0.09718253158075499,0.47227673525957536,0.04960238992398299,0.8822362325718031,0.0084872617501648,"[[1223  143]
 [  32   88]]",0.06457317549820506
STATIC+Dipole,0.8648788356817555,0.0527239436708641,0.4772175525776376,0.07156926446592693,0.3999507900434837,0.07499502016241386,0.6083333333333334,0.11666666666666668,0.4351134892770457,0.08408893220615674,0.8916389849275757,0.021925045072245634,"[[1252  114]
 [  47   73]]",0.06409984652073394
STATIC+DOME,0.9147277144996124,0.025231351153467786,0.4964941463464337,0.04088120701246939,0.3594781511537135,0.0550310822027805,0.8333333333333333,0.06972166887783962,0.48657498283836953,0.028503469334924845,0.8600298284862044,0.03274184009049342,"[[1178  188]
 [  20  100]]",0.06436830350317699
STATIC+GRU,0.8625986493231019,0.019693829130182583,0.4616380674676699,0.026348472011380665,0.33931034097891366,0.022091795579863436,0.725,0.05651941652604392,0.4330000378295008,0.03325961451122149,0.8633810137165842,0.010248428692420649,"[[1196  170]
 [  33   87]]",0.07274253348287972
STATIC+GRU-D,0.8816977932853846,0.01384853083031684,0.5000263843955147,0.025586787985274608,0.38640856576029875,0.01696923566010257,0.7166666666666667,0.0927960727138337,0.470123038257766,0.037687940487304554,0.8849185365963889,0.007892650769785427,"[[1229  137]
 [  34   86]]",0.06374592329148714
