C84A7;10;Cutaneous T-cell lymphoma, unspecified, spleen
C84Z7;10;Other mature T/NK-cell lymphomas, spleen
C8517;10;Unspecified B-cell lymphoma, spleen
C8527;10;Mediastinal (thymic) large B-cell lymphoma, spleen
C8587;10;Other specified types of non-Hodgkin lymphoma, spleen
C8597;10;Non-Hodgkin lymphoma, unspecified, spleen
D73;10;Diseases of spleen
D733;10;Abscess of spleen
D734;10;Cyst of spleen
D735;10;Infarction of spleen
D738;10;Other diseases of spleen
D7389;10;Other diseases of spleen
D739;10;Disease of spleen, unspecified
D78;10;Intraoperative and postprocedural complications of the spleen
D780;10;Intraoperative hemorrhage and hematoma of the spleen complicating a procedure
D7801;10;Intraoperative hemorrhage and hematoma of the spleen complicating a procedure on the spleen
D7802;10;Intraoperative hemorrhage and hematoma of the spleen complicating other procedure
D781;10;Accidental puncture and laceration of the spleen during a procedure
D7811;10;Accidental puncture and laceration of the spleen during a procedure on the spleen
D7812;10;Accidental puncture and laceration of the spleen during other procedure
D782;10;Postprocedural hemorrhage of the spleen following a procedure
D7821;10;Postprocedural hemorrhage of the spleen following a procedure on the spleen
D7822;10;Postprocedural hemorrhage of the spleen following other procedure
D783;10;Postprocedural hematoma and seroma of the spleen following a procedure
D7831;10;Postprocedural hematoma of the spleen following a procedure on the spleen
D7832;10;Postprocedural hematoma of the spleen following other procedure
D7833;10;Postprocedural seroma of the spleen following a procedure on the spleen
D7834;10;Postprocedural seroma of the spleen following other procedure
D788;10;Other intraoperative and postprocedural complications of the spleen
D7881;10;Other intraoperative complications of the spleen
D7889;10;Other postprocedural complications of the spleen
P151;10;Birth injury to spleen
Q890;10;Congenital absence and malformations of spleen
Q8909;10;Congenital malformations of spleen
S360;10;Injury of spleen
S3600;10;Unspecified injury of spleen
S3600XA;10;Unspecified injury of spleen, initial encounter
S3600XD;10;Unspecified injury of spleen, subsequent encounter
S3600XS;10;Unspecified injury of spleen, sequela
S3602;10;Contusion of spleen
S36020;10;Minor contusion of spleen
S36020A;10;Minor contusion of spleen, initial encounter
S36020D;10;Minor contusion of spleen, subsequent encounter
S36020S;10;Minor contusion of spleen, sequela
S36021;10;Major contusion of spleen
S36021A;10;Major contusion of spleen, initial encounter
S36021D;10;Major contusion of spleen, subsequent encounter
S36021S;10;Major contusion of spleen, sequela
S36029;10;Unspecified contusion of spleen
S36029A;10;Unspecified contusion of spleen, initial encounter
S36029D;10;Unspecified contusion of spleen, subsequent encounter
S36029S;10;Unspecified contusion of spleen, sequela
S3603;10;Laceration of spleen
S36030;10;Superficial (capsular) laceration of spleen
S36030A;10;Superficial (capsular) laceration of spleen, initial encounter
S36030D;10;Superficial (capsular) laceration of spleen, subsequent encounter
S36030S;10;Superficial (capsular) laceration of spleen, sequela
S36031;10;Moderate laceration of spleen
S36031A;10;Moderate laceration of spleen, initial encounter
S36031D;10;Moderate laceration of spleen, subsequent encounter
S36031S;10;Moderate laceration of spleen, sequela
S36032;10;Major laceration of spleen
S36032A;10;Major laceration of spleen, initial encounter
S36032D;10;Major laceration of spleen, subsequent encounter
S36032S;10;Major laceration of spleen, sequela
S36039;10;Unspecified laceration of spleen
S36039A;10;Unspecified laceration of spleen, initial encounter
S36039D;10;Unspecified laceration of spleen, subsequent encounter
S36039S;10;Unspecified laceration of spleen, sequela
S3609;10;Other injury of spleen
S3609XA;10;Other injury of spleen, initial encounter
S3609XD;10;Other injury of spleen, subsequent encounter
S3609XS;10;Other injury of spleen, sequela
Z9081;10;Acquired absence of spleen
